time,vehicle_id,x,y,speed
133.00,flow0.28,-2781.97,3911.61,2.42
134.00,flow0.26,-2712.77,3911.61,10.00
134.00,flow0.27,-2751.57,3911.61,7.28
134.00,flow0.28,-2778.96,3911.61,3.01
134.00,flow0.29,-2787.49,3911.61,0.00
135.00,flow0.26,-2702.20,3911.61,10.57
135.00,flow0.27,-2743.33,3911.61,8.24
135.00,flow0.28,-2775.01,3911.61,3.95
135.00,flow0.29,-2786.83,3911.61,0.66
136.00,flow0.26,-2691.10,3911.61,11.11
136.00,flow0.27,-2734.56,3911.61,8.76
136.00,flow0.28,-2770.47,3911.61,4.54
136.00,flow0.29,-2785.51,3911.61,1.31
137.00,flow0.27,-2724.81,3911.61,9.76
137.00,flow0.28,-2765.25,3911.61,5.23
137.00,flow0.29,-2783.64,3911.61,1.88
138.00,flow0.27,-2714.46,3911.61,10.35
138.00,flow0.28,-2759.51,3911.61,5.74
138.00,flow0.29,-2781.03,3911.61,2.60
139.00,flow0.27,-2703.30,3911.61,11.16
139.00,flow0.28,-2753.23,3911.61,6.28
139.00,flow0.29,-2777.44,3911.61,3.59
139.00,flow0.30,-2787.49,3911.61,0.00
140.00,flow0.27,-2691.49,3911.61,11.81
140.00,flow0.28,-2746.05,3911.61,7.18
140.00,flow0.29,-2773.35,3911.61,4.10
140.00,flow0.30,-2786.57,3911.61,0.92
141.00,flow0.28,-2738.20,3911.61,7.85
141.00,flow0.29,-2768.69,3911.61,4.66
141.00,flow0.30,-2784.73,3911.61,1.84
142.00,flow0.28,-2729.61,3911.61,8.59
142.00,flow0.29,-2763.23,3911.61,5.46
142.00,flow0.30,-2782.21,3911.61,2.52
143.00,flow0.28,-2720.46,3911.61,9.15
143.00,flow0.29,-2756.79,3911.61,6.44
143.00,flow0.30,-2778.70,3911.61,3.51
143.00,flow0.31,-2787.49,3911.61,0.00
144.00,flow0.28,-2710.38,3911.61,10.08
144.00,flow0.29,-2749.41,3911.61,7.38
144.00,flow0.30,-2774.55,3911.61,4.15
144.00,flow0.31,-2786.87,3911.61,0.62
145.00,flow0.28,-2699.79,3911.61,10.59
145.00,flow0.29,-2741.41,3911.61,8.00
145.00,flow0.30,-2769.64,3911.61,4.91
145.00,flow0.31,-2785.55,3911.61,1.31
146.00,flow0.28,-2688.26,3911.61,11.53
146.00,flow0.29,-2732.59,3911.61,8.82
146.00,flow0.30,-2764.09,3911.61,5.56
146.00,flow0.31,-2783.36,3911.61,2.20
147.00,flow0.29,-2723.06,3911.61,9.53
147.00,flow0.30,-2757.53,3911.61,6.55
147.00,flow0.31,-2780.51,3911.61,2.84
148.00,flow0.29,-2712.76,3911.61,10.30
148.00,flow0.30,-2750.37,3911.61,7.17
148.00,flow0.31,-2776.87,3911.61,3.64
148.00,flow0.32,-2787.49,3911.61,0.00
149.00,flow0.29,-2701.53,3911.61,11.23
149.00,flow0.30,-2742.43,3911.61,7.94
149.00,flow0.31,-2772.53,3911.61,4.34
149.00,flow0.32,-2786.62,3911.61,0.87
150.00,flow0.29,-2689.41,3911.61,12.12
150.00,flow0.30,-2733.85,3911.61,8.57
150.00,flow0.31,-2767.55,3911.61,4.98
150.00,flow0.32,-2784.81,3911.61,1.81
151.00,flow0.30,-2724.76,3911.61,9.09
151.00,flow0.31,-2761.68,3911.61,5.87
151.00,flow0.32,-2782.34,3911.61,2.47
152.00,flow0.30,-2714.78,3911.61,9.99
152.00,flow0.31,-2755.05,3911.61,6.63
152.00,flow0.32,-2779.37,3911.61,2.97
152.00,flow0.33,-2787.49,3911.61,0.00
153.00,flow0.30,-2703.91,3911.61,10.87
153.00,flow0.31,-2747.68,3911.61,7.37
153.00,flow0.32,-2775.67,3911.61,3.70
153.00,flow0.33,-2787.10,3911.61,0.39
154.00,flow0.30,-2692.13,3911.61,11.78
154.00,flow0.31,-2739.59,3911.61,8.09
154.00,flow0.32,-2771.25,3911.61,4.42
154.00,flow0.33,-2786.06,3911.61,1.04
155.00,flow0.31,-2730.54,3911.61,9.05
155.00,flow0.32,-2766.05,3911.61,5.21
155.00,flow0.33,-2784.31,3911.61,1.75
156.00,flow0.31,-2720.66,3911.61,9.88
156.00,flow0.32,-2759.93,3911.61,6.12
156.00,flow0.33,-2781.79,3911.61,2.52
157.00,flow0.31,-2710.06,3911.61,10.60
157.00,flow0.32,-2753.13,3911.61,6.80
157.00,flow0.33,-2778.34,3911.61,3.45
157.00,flow0.34,-2787.49,3911.61,0.00
158.00,flow0.31,-2698.83,3911.61,11.23
158.00,flow0.32,-2745.48,3911.61,7.65
158.00,flow0.33,-2774.35,3911.61,3.98
158.00,flow0.34,-2786.69,3911.61,0.80
